Palestrante 1;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 1
Palestrante 2;000.000.000-00;palestrante;00:50;e-mail@dominio.com;Palestra 2
Palestrante 3;000.000.000-00;palestrante;00:10;e-mail@dominio.com;Palestra 3
Palestrante 4;000.000.000-00;palestrante;01:30;e-mail@dominio.com;Palestra 4
Palestrante 5;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 5
Palestrante 6;000.000.000-00;palestrante;00:30;e-mail@dominio.com;Palestra 6
Palestrante 7;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 7
Palestrante 8;000.000.000-00;palestrante;00:30;e-mail@dominio.com;Palestra 8
Palestrante 9;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 9
Palestrante 10;000.000.000-00;palestrante;00:50;e-mail@dominio.com;Palestra 10
Palestrante 11;000.000.000-00;palestrante;01:30;e-mail@dominio.com;Palestra 11
Palestrante 12;000.000.000-00;palestrante;00:30;e-mail@dominio.com;Palestra 12
Palestrante 13;000.000.000-00;palestrante;00:10;e-mail@dominio.com;Palestra 13
Palestrante 14;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 14
Palestrante 15;000.000.000-00;palestrante;00:50;e-mail@dominio.com;Palestra 15
Palestrante 16;000.000.000-00;palestrante;00:10;e-mail@dominio.com;Palestra 16
Palestrante 17;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 17
Palestrante 18;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 18
Palestrante 19;000.000.000-00;palestrante;00:10;e-mail@dominio.com;Palestra 19
Palestrante 20;000.000.000-00;palestrante;01:00;e-mail@dominio.com;Palestra 20
Palestrante 21;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 21
Palestrante 22;000.000.000-00;palestrante;00:20;e-mail@dominio.com;Palestra 22
Palestrante 23;000.000.000-00;palestrante;01:10;e-mail@dominio.com;Palestra 23
Palestrante 24;000.000.000-00;palestrante;00:10;e-mail@dominio.com;Palestra 24
Palestrante 25;000.000.000-00;palestrante;00:50;e-mail@dominio.com;Palestra 25
Palestrante 26;000.000.000-00;palestrante;00:30;e-mail@dominio.com;Palestra 26
Palestrante 27;000.000.000-00;palestrante;00:40;e-mail@dominio.com;Palestra 27
Palestrante 28;000.000.000-00;palestrante;00:40;e-mail@dominio.com;Palestra 28
Palestrante 29;000.000.000-00;palestrante;00:50;e-mail@dominio.com;Palestra 29
