Organizador 1;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
Organizador 2;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
Organizador 3;000.000.000-00;organizacao;60;e-mail@dominio.com;organizador
Organizador 4;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
Organizador 5;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
Organizador 6;000.000.000-00;organizacao;60;e-mail@dominio.com;organizador
Organizador 7;000.000.000-00;organizacao;60;e-mail@dominio.com;organizador
Organizador 8;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
Organizador 9;000.000.000-00;organizacao;30;e-mail@dominio.com;organizador
Organizador 10;000.000.000-00;organizacao;60;e-mail@dominio.com;organizador
Organizador 11;000.000.000-00;organizacao;2;e-mail@dominio.com;organizador
Organizador 12;000.000.000-00;organizacao;2;e-mail@dominio.com;organizador
Organizador 13;000.000.000-00;organizacao;2;e-mail@dominio.com;organizador
Organizador 14;000.000.000-00;organizacao;10;e-mail@dominio.com;organizador
